fromNode	toNode	weight	direction	fromAltName	toAltName
ORF158	AT4G26380	0.016583715663548	undirected	NA	NA
ORF158	AT4G23760	0.0851229427756664	undirected	NA	NA
ORF158	AT4G20530	0.432612080832343	undirected	NA	NA
ORF158	AT4G13700	0.3249939710564	undirected	NA	NA
ORF158	AT4G07490	0.269137074185155	undirected	NA	NA
ORF158	AT4G07550	0.0735623740494063	undirected	NA	NA
ORF158	AT4G07640	0.236041148740074	undirected	NA	NA
ORF158	AT4G07660	0.306625381109857	undirected	NA	NA
ORF158	AT4G03900	0.24296679019589	undirected	NA	NA
ORF158	AT4G02480	0.392426159351691	undirected	NA	NA
ORF158	AT4G00920	0.0989641637775018	undirected	NA	NA
ORF158	AT1G22210	0.0417199602778241	undirected	NA	NA
ORF158	AT5G35070	0.278140505862648	undirected	NA	NA
ORF158	AT1G36920	0.0553751576822465	undirected	NA	NA
ORF158	AT1G50960	0.0252849000775227	undirected	NA	NA
ORF158	AT3G12230	0.256706930537926	undirected	NA	NA
ORF158	AT3G11220	0.0525983066442627	undirected	NA	NA
ORF158	AT1G31530	0.143862244049917	undirected	NA	NA
ORF158	AT1G33320	0.0493664188076523	undirected	NA	NA
ORF158	AT3G32900	0.0906887989665184	undirected	NA	NA
ORF158	AT3G30230	0.045696980416248	undirected	NA	NA
ORF158	ORF205	0.203779855873896	undirected	NA	NA
ORF158	ORF111C	0.438631372939972	undirected	NA	NA
ORF158	ORF107H	0.302818247420155	undirected	NA	NA
ORF158	AT3G33066	0.449100859238889	undirected	NA	NA
ORF158	AT1G43940	0.378011546770402	undirected	NA	NA
ORF158	AT1G12490	0.0333845571879873	undirected	NA	NA
ORF158	AT1G66380	0.138305653517344	undirected	NA	NA
ORF158	AT1G35040	0.0409486493425509	undirected	NA	NA
ORF158	AT1G32670	0.381913756306414	undirected	NA	NA
ORF158	AT1G47790	0.0230791048774694	undirected	NA	NA
ORF158	AT1G42375	0.398653289053369	undirected	NA	NA
ORF158	AT1G50160	0.455783166697903	undirected	NA	NA
ORF158	AT1G11690	0.0181393095815729	undirected	NA	NA
ORF158	AT1G54430	0.344007132271519	undirected	NA	NA
ORF158	AT2G11560	0.430322629335768	undirected	NA	NA
ORF158	AT2G04970	0.0119689907648822	undirected	NA	NA
ORF158	AT2G31700	0.444426271133957	undirected	NA	NA
ORF158	AT2G07673	0.412187531964226	undirected	NA	NA
ORF158	AT2G24920	0.107546773733352	undirected	NA	NA
ORF158	AT2G16330	0.338933313127994	undirected	NA	NA
ORF158	AT2G11360	0.381667215879181	undirected	NA	NA
ORF158	AT2G11390	0.320610661009757	undirected	NA	NA
ORF158	AT2G14380	0.289558188708054	undirected	NA	NA
ORF158	AT2G25550	0.309925784289932	undirected	NA	NA
ORF158	AT2G18640	0.421326819074351	undirected	NA	NA
ORF158	AT2G02210	0.301077399085467	undirected	NA	NA
ORF158	AT2G07010	0.0849227184299133	undirected	NA	NA
ORF158	AT2G29620	0.275189412184229	undirected	NA	NA
ORF158	NDHG	0.150852794915424	undirected	NA	NA
ORF158	ATPI	0.140587481526587	undirected	NA	NA
ORF158	AT2G33160	0.152304951933174	undirected	NA	NA
ORF158	AT5G39640	0.0823103554325641	undirected	NA	NA
ORF158	AT3G47260	0.0590135933411602	undirected	NA	NA
ORF158	AT3G46390	0.315625904340306	undirected	NA	NA
ORF158	AT4G13900	0.054799884029715	undirected	NA	NA
ORF158	AT4G11470	0.026773028729269	undirected	NA	NA
ORF158	AT1G36640	0.0187235871838012	undirected	NA	NA
ORF158	AT1G52610	0.0499852871296457	undirected	NA	NA
ORF158	AT2G15200	0.0773602409844419	undirected	NA	NA
ORF158	AT2G16450	0.0718746066849807	undirected	NA	NA
ORF158	AT1G65360	0.101267755589458	undirected	NA	NA
ORF158	AT1G52010	0.128310001155982	undirected	NA	NA
ORF184	PSBN	0.0257479990717023	undirected	NA	NA
ORF184	YCF6	0.346474066787941	undirected	NA	NA
ORF184	AT5G14990	0.136632808760189	undirected	NA	NA
ORF184	AT5G29100	0.0726676799457299	undirected	NA	NA
ORF184	AT5G39870	0.315760585430458	undirected	NA	NA
ORF184	AT3G54570	0.080121978908965	undirected	NA	NA
ORF184	AT3G45380	0.328440966263653	undirected	NA	NA
ORF184	AT4G27290	0.102502615275867	undirected	NA	NA
ORF184	AT4G12350	0.0424475841752792	undirected	NA	NA
ORF184	AT4G11700	0.212295142940902	undirected	NA	NA
ORF184	AT4G08680	0.114411537289864	undirected	NA	NA
ORF184	AT4G08400	0.0459776615802716	undirected	NA	NA
ORF184	AT4G04820	0.336598636722346	undirected	NA	NA
ORF184	AT4G04560	0.173182156490347	undirected	NA	NA
ORF184	AT4G04430	0.358732825831298	undirected	NA	NA
ORF184	AT4G03650	0.28459042699494	undirected	NA	NA
ORF184	AT1G22130	0.0594320255842818	undirected	NA	NA
ORF184	AT3G32120	0.226142306778179	undirected	NA	NA
ORF184	AT2G34130	0.0126786584934391	undirected	NA	NA
ORF184	AT3G28120	0.123510427789624	undirected	NA	NA
ORF184	AT3G01080	0.223414022067686	undirected	NA	NA
ORF184	AT1G41797	0.296944290380761	undirected	NA	NA
ORF184	AT1G43840	0.280770970056673	undirected	NA	NA
ORF184	AT1G32830	0.0287543642687759	undirected	NA	NA
ORF184	AT1G27790	0.251512283417603	undirected	NA	NA
ORF184	AT2G07721	0.212353012750519	undirected	NA	NA
ORF184	AT2G45110	0.0778428719356378	undirected	NA	NA
ORF184	AT2G29790	0.10250725773254	undirected	NA	NA
ORF184	AT2G02610	0.14341551851452	undirected	NA	NA
ORF184	ORF100A	0.139689326258101	undirected	NA	NA
ORF184	ORF143	0.381011316218964	undirected	NA	NA
ORF184	ORF127	0.233948854101707	undirected	NA	NA
ORF184	NDHF	0.500228553695924	undirected	NA	NA
ORF184	RPS14	0.440399083216418	undirected	NA	NA
ORF184	AT3G33080	0.468365419977583	undirected	NA	NA
ORF184	AT3G29791	0.394609346252146	undirected	NA	NA
ORF184	AT1G56530	0.421646715910312	undirected	NA	NA
ORF184	AT5G19360	0.219450684501144	undirected	NA	NA
ORF184	AT1G39190	0.138903409704604	undirected	NA	NA
ORF184	AT5G34895	0.399553756522423	undirected	NA	NA
ORF184	AT5G34990	0.250399161376484	undirected	NA	NA
ORF184	AT5G29010	0.259764973369625	undirected	NA	NA
ORF184	AT5G27310	0.298735253968198	undirected	NA	NA
ORF184	AT5G63720	0.187267744077723	undirected	NA	NA
ORF184	AT5G60770	0.382066967331398	undirected	NA	NA
ORF184	AT5G51930	0.0803450410559638	undirected	NA	NA
ORF184	AT5G46810	0.361405548438491	undirected	NA	NA
ORF184	AT5G44570	0.203395986917226	undirected	NA	NA
ORF184	AT5G41730	0.120701059500048	undirected	NA	NA
ORF184	AT5G40560	0.502747567934667	undirected	NA	NA
ORF184	AT5G35880	0.288966016986779	undirected	NA	NA
ORF184	AT5G09700	0.315262848724559	undirected	NA	NA
ORF184	AT5G06900	0.489515180001443	undirected	NA	NA
ORF184	AT3G52830	0.429904662276002	undirected	NA	NA
ORF184	AT3G45810	0.332231909794823	undirected	NA	NA
ORF184	AT3G45940	0.308483436918785	undirected	NA	NA
ORF184	AT3G45500	0.273741918540033	undirected	NA	NA
ORF184	AT3G44470	0.326041888290898	undirected	NA	NA
ORF184	AT3G44500	0.265731765077127	undirected	NA	NA
ORF184	AT4G28960	0.363223103091141	undirected	NA	NA
ORF184	AT4G26820	0.337928721020747	undirected	NA	NA
ORF184	AT4G26330	0.0871955364245591	undirected	NA	NA
ORF184	AT4G26380	0.0813621334745383	undirected	NA	NA
ORF184	AT4G23760	0.256000659241471	undirected	NA	NA
ORF184	AT4G20530	0.507470624536388	undirected	NA	NA
ORF184	AT4G13700	0.265964349663714	undirected	NA	NA
ORF184	AT4G07490	0.399128737901807	undirected	NA	NA
ORF184	AT4G07550	0.18883460596122	undirected	NA	NA
ORF184	AT4G07640	0.323490514200907	undirected	NA	NA
ORF184	AT4G07660	0.373630148051769	undirected	NA	NA
ORF184	AT4G03900	0.235228820029967	undirected	NA	NA
ORF184	AT4G02480	0.330863148742642	undirected	NA	NA
ORF184	AT4G00920	0.256682921391431	undirected	NA	NA
ORF184	AT1G22210	0.0817677805563282	undirected	NA	NA
ORF184	AT5G35070	0.224773711237629	undirected	NA	NA
ORF184	AT1G36920	0.188451620003682	undirected	NA	NA
ORF184	AT1G50960	0.134882482179798	undirected	NA	NA
ORF184	AT3G12230	0.373132264697137	undirected	NA	NA
ORF184	AT3G11220	0.0915646242147997	undirected	NA	NA
ORF184	AT1G31530	0.288202550679918	undirected	NA	NA
ORF184	AT1G33320	0.122788034625227	undirected	NA	NA
ORF184	AT3G32900	0.181018510827585	undirected	NA	NA
ORF184	AT3G30310	0.066237725001576	undirected	NA	NA
ORF184	AT3G30230	0.104335320090279	undirected	NA	NA
ORF184	ORF205	0.321069685171475	undirected	NA	NA
ORF184	ORF111C	0.494254099101281	undirected	NA	NA
ORF184	ORF107H	0.432013566478051	undirected	NA	NA
ORF184	AT3G33066	0.435980240543094	undirected	NA	NA
ORF184	AT1G43940	0.449909835402792	undirected	NA	NA
ORF184	AT1G12490	0.146202066913176	undirected	NA	NA
ORF184	AT1G66380	0.290282130542778	undirected	NA	NA
ORF184	AT1G79770	0.0457168084254018	undirected	NA	NA
ORF184	AT1G35040	0.166700332505532	undirected	NA	NA
ORF184	AT1G32670	0.448285905394926	undirected	NA	NA
ORF184	AT1G47790	0.105274188101092	undirected	NA	NA
ORF184	AT1G42375	0.463716014927799	undirected	NA	NA
ORF184	AT1G50160	0.495508246902765	undirected	NA	NA
ORF184	AT1G11690	0.103338442641171	undirected	NA	NA
ORF184	AT1G54430	0.308556002161811	undirected	NA	NA
ORF184	AT2G11560	0.392269362650491	undirected	NA	NA
ORF184	AT2G01920	0.0432210983843395	undirected	NA	NA
ORF184	AT2G04970	0.0542066048909687	undirected	NA	NA
ORF184	AT2G31700	0.495443867374696	undirected	NA	NA
ORF184	AT2G07673	0.49712714267167	undirected	NA	NA
ORF184	AT2G24920	0.241322808077698	undirected	NA	NA
ORF184	AT2G16330	0.430534725286196	undirected	NA	NA
ORF184	AT2G11360	0.471005237919019	undirected	NA	NA
ORF184	AT2G11390	0.318069835330088	undirected	NA	NA
ORF184	AT2G14380	0.352296950975321	undirected	NA	NA
ORF184	AT2G25550	0.409646359206871	undirected	NA	NA
ORF184	AT2G18640	0.327872239782793	undirected	NA	NA
ORF184	AT2G02210	0.372535371527962	undirected	NA	NA
ORF184	AT2G07010	0.275976272496887	undirected	NA	NA
ORF184	AT2G29620	0.231474527999434	undirected	NA	NA
ORF184	AT2G32880	0.0646740975045061	undirected	NA	NA
ORF184	NDHG	0.0858708320426893	undirected	NA	NA
ORF184	ATPI	0.116866436952247	undirected	NA	NA
ORF184	AT2G33160	0.239661388005569	undirected	NA	NA
ORF184	AT5G39640	0.209798826251456	undirected	NA	NA
ORF184	AT3G47260	0.115430228767945	undirected	NA	NA
ORF184	AT3G46390	0.30077176124702	undirected	NA	NA
ORF184	AT4G13900	0.0731044107142309	undirected	NA	NA
ORF184	AT4G11470	0.0954655267663616	undirected	NA	NA
ORF184	AT1G36640	0.104494667608955	undirected	NA	NA
ORF184	AT1G52610	0.113194098799072	undirected	NA	NA
ORF184	AT2G15200	0.228170611824708	undirected	NA	NA
ORF184	AT2G16450	0.0969389387124828	undirected	NA	NA
ORF184	AT1G65360	0.091009137104057	undirected	NA	NA
ORF184	AT1G52010	0.172465262675828	undirected	NA	NA
PSBN	YCF6	0.145001386055288	undirected	NA	NA
PSBN	AT5G14990	0.319926083309279	undirected	NA	NA
PSBN	AT3G54570	0.352829508307512	undirected	NA	NA
PSBN	AT4G08400	0.0957913174128521	undirected	NA	NA
PSBN	AT4G04820	0.0286621906150377	undirected	NA	NA
PSBN	AT4G04430	0.0157011232326407	undirected	NA	NA
PSBN	AT4G03650	0.0764911183072306	undirected	NA	NA
PSBN	AT1G22130	0.0636938715745996	undirected	NA	NA
PSBN	AT1G43840	0.0214655998617649	undirected	NA	NA
PSBN	AT1G32830	0.0593683583029732	undirected	NA	NA
PSBN	AT1G27790	0.0131273288256518	undirected	NA	NA
PSBN	AT2G07721	0.0114333730166812	undirected	NA	NA
PSBN	AT2G29790	0.249976511629772	undirected	NA	NA
PSBN	ORF100A	0.0118379402450836	undirected	NA	NA
PSBN	ORF143	0.0433759578237007	undirected	NA	NA
PSBN	NDHF	0.0807285887702905	undirected	NA	NA
PSBN	RPS14	0.108313252401597	undirected	NA	NA
PSBN	AT3G33080	0.088458070925359	undirected	NA	NA
PSBN	AT3G29791	0.050882658971287	undirected	NA	NA
PSBN	AT1G56530	0.0934236696763097	undirected	NA	NA
PSBN	AT5G19360	0.0174776655964307	undirected	NA	NA
PSBN	AT5G34895	0.128383786219449	undirected	NA	NA
PSBN	AT5G29010	0.0686142958510449	undirected	NA	NA
PSBN	AT5G27310	0.0207427201361786	undirected	NA	NA
PSBN	AT5G60770	0.0458494211493616	undirected	NA	NA
PSBN	AT5G46810	0.0182508576469989	undirected	NA	NA
PSBN	AT5G40560	0.0753614963588619	undirected	NA	NA
PSBN	AT5G35880	0.0377169856841529	undirected	NA	NA
PSBN	AT5G09700	0.0306049823448377	undirected	NA	NA
PSBN	AT5G06900	0.0865891772536823	undirected	NA	NA
PSBN	AT3G52830	0.0682938928336368	undirected	NA	NA
PSBN	AT3G45810	0.0395717694003992	undirected	NA	NA
PSBN	AT3G45940	0.0262801489829558	undirected	NA	NA
PSBN	AT3G45500	0.0193057971214304	undirected	NA	NA
PSBN	AT3G44500	0.0357437248343651	undirected	NA	NA
PSBN	AT4G28960	0.0339723767922616	undirected	NA	NA
PSBN	AT4G26820	0.0216821075562223	undirected	NA	NA
PSBN	AT4G23760	0.0105989894330137	undirected	NA	NA
PSBN	AT4G20530	0.069746564565633	undirected	NA	NA
PSBN	AT4G13700	0.0358882996020344	undirected	NA	NA
PSBN	AT4G07490	0.0444984661864569	undirected	NA	NA
PSBN	AT4G07640	0.0343205233722581	undirected	NA	NA
PSBN	AT4G07660	0.0498671988111739	undirected	NA	NA
PSBN	AT4G03900	0.0367658488685632	undirected	NA	NA
PSBN	AT4G02480	0.0411041133701519	undirected	NA	NA
PSBN	AT4G00920	0.0164970981052054	undirected	NA	NA
PSBN	AT5G35070	0.0225194348401347	undirected	NA	NA
PSBN	AT3G12230	0.0388960686263612	undirected	NA	NA
PSBN	AT1G31530	0.0199593395970122	undirected	NA	NA
PSBN	ORF205	0.0251322896462714	undirected	NA	NA
PSBN	ORF111C	0.0554537347280746	undirected	NA	NA
PSBN	ORF107H	0.0490327583181511	undirected	NA	NA
PSBN	AT3G33066	0.0653776950847239	undirected	NA	NA
PSBN	AT1G43940	0.0686196670209808	undirected	NA	NA
PSBN	AT1G66380	0.0204042648578989	undirected	NA	NA
PSBN	AT1G32670	0.0756021357442135	undirected	NA	NA
PSBN	AT1G42375	0.0808024874459382	undirected	NA	NA
PSBN	AT1G50160	0.0746655429745471	undirected	NA	NA
PSBN	AT1G54430	0.0308259943772862	undirected	NA	NA
PSBN	AT2G11560	0.057242605867536	undirected	NA	NA
PSBN	AT2G31700	0.0602956864091988	undirected	NA	NA
PSBN	AT2G07673	0.0719167680203673	undirected	NA	NA
PSBN	AT2G24920	0.0128961349633194	undirected	NA	NA
PSBN	AT2G16330	0.0609597122170041	undirected	NA	NA
PSBN	AT2G11360	0.0652495154548354	undirected	NA	NA
PSBN	AT2G11390	0.064158860061483	undirected	NA	NA
PSBN	AT2G14380	0.0420361551051252	undirected	NA	NA
PSBN	AT2G25550	0.0408881756065241	undirected	NA	NA
PSBN	AT2G18640	0.0917494334691662	undirected	NA	NA
PSBN	AT2G02210	0.0374060509234035	undirected	NA	NA
PSBN	AT2G29620	0.0238644174301815	undirected	NA	NA
PSBN	NDHG	0.348869018139428	undirected	NA	NA
PSBN	ATPI	0.226152219945182	undirected	NA	NA
PSBN	AT2G33160	0.0544250860207575	undirected	NA	NA
PSBN	AT5G39640	0.0107545890103386	undirected	NA	NA
PSBN	AT3G47260	0.0191873367615357	undirected	NA	NA
PSBN	AT3G46390	0.180360853101456	undirected	NA	NA
PSBN	AT4G13900	0.033600106813156	undirected	NA	NA
PSBN	AT4G11470	0.0788433091899668	undirected	NA	NA
