ID,Zygotic_r1,Zygotic_r2,Day7_r1,Day7_r2,Day14_r1,Day14_r2,Somatic_r1,Somatic_r2
AT2G05830,696.8954726,694.8473189,1346.240159,1231.565411,1223.578178,1185.57061,1710.465351,1715.195014
AT2G06005,367.8502973,332.2312681,344.3740951,260.4112345,146.0793794,156.6653646,121.408671,373.470657
AT2G05990,13997.92664,11129.46767,3725.295758,2808.359582,1562.131577,2016.206749,2536.634965,2248.953329
AT2G05840,1256.237029,1087.348078,2087.9904,2670.018266,2352.579628,2412.839303,1758.195119,1680.241793
AT2G05940,199.5663792,153.0714751,469.3703946,455.1917431,264.3117,332.0836045,523.6871122,357.9076058
AT2G07680,301.2907506,132.4867236,130.7128345,102.7972709,77.1536892,82.92865044,403.8990468,305.775187
AT2G07739,64.2056342,12.40939104,1716.854603,724.2971977,33.27087624,175.2995865,35.12751499,50.35317246
AT2G07738,2.020407229,3.088046949,20.91035807,5.202316395,3.99535039,5.138642305,5.694763726,6.395526512
AT2G07736,3.41770692,2.103385874,28.9350392,40.67213639,36.27915364,47.3105968,17.85487123,1.277473455
AT2G07734,270.6937048,119.7733991,559.0294957,507.1178299,270.9904049,233.2209278,146.769629,159.9880658
AT2G07724,61.86489964,62.09863228,106.0984333,86.40686238,85.03192082,162.9325401,64.44382367,165.2986384
AT2G07725,213.2334914,113.2480171,330.0881548,367.8708862,269.1873727,353.2045516,109.151946,100.1309844
AT2G07727,251.6623101,110.0125888,461.960794,412.0061013,179.4231203,649.6440318,65.77003807,95.83157215
AT2G07728,12.57851533,9.31372099,26.01340185,51.69848868,48.94920648,40.63838795,18.93404629,9.382054281
AT2G40800,119.5372877,200.7356956,262.6912948,367.5434584,313.6730677,291.56659,180.8663287,238.6369079
AT2G40790,50.58217365,35.09057945,154.6251924,117.9526711,51.63596185,53.09882281,7.002759961,16.42189995
AT2G40780,81.48385845,104.8789349,168.7336147,214.7250268,195.4447518,155.9686631,152.4969157,156.9825801
AT2G40770,195.325416,158.4534624,234.2917671,247.2137676,195.9303152,177.2302672,208.693745,298.7203955
AT2G40760,553.9158583,480.9292792,444.6238049,498.458028,1232.373692,1086.159973,895.9588898,820.6737845
AT2G40740,18.73634589,15.52126794,59.68832703,30.6753862,40.93469811,10.38082085,8.112006717,9.879968162
AT2G40730,70.72190192,124.1650882,117.4421366,120.2404165,138.2689108,144.7248764,136.4718067,103.1803525
AT2G40640,107.9532461,114.9305739,77.58217081,97.42615324,253.8790399,233.721264,380.708617,336.5121034
AT2G40650,429.4611002,370.4272936,254.1845536,299.8960195,473.5379398,400.9981509,292.3246505,219.9347869
AT2G40810,131.7234199,117.2838857,224.2350105,251.0404447,278.7432111,226.8189038,199.1961399,195.7550927
AT2G40660,1313.515777,2223.575487,2110.013948,2496.313682,2758.316963,2841.679099,2873.271902,1764.179111
AT2G40690,261.6885111,306.3848838,123.919196,170.9221838,143.8090235,136.2466408,148.5695605,164.9313652
AT2G40765,3451.827641,2892.54383,6452.252746,4755.341511,3143.005637,3157.805133,3694.625136,4027.556839
AT2G18630,1115.55008,995.145733,393.5009154,480.8351147,689.4318202,688.8230026,761.1221379,533.6803393
AT2G18720,22.38850894,35.14259993,61.71912379,66.48934477,55.09514276,43.3677087,44.09885024,46.05349517
AT2G18730,79.74662473,144.4755173,175.1868727,188.9606214,351.1714638,316.3545729,608.0178474,340.4136727
AT2G18760,43.81201784,47.16157588,62.02906512,90.9891684,97.16645562,82.30470863,45.45781953,56.47359587
AT2G18780,214.1776181,297.5359771,326.7935168,519.6912164,499.4205893,408.3151503,300.2432579,361.8385268
AT2G18790,882.1963392,998.8703784,814.1950086,838.9424904,844.0541169,1059.232062,1001.86296,923.1663706
AT2G18800,1.729108522,3.02111448,3.511085434,1.64173165,1.092898409,2.105355554,1.178578112,6.788651331
AT2G18810,25.07383027,8.605636608,10.68172912,6.077942813,9.947377855,16.191293,2.590090365,13.22838651
AT2G18640,2.891021475,1.274165059,1.46016744,0.72217381,3.771076618,13.13446617,1.353376911,0.787649007
AT2G18650,111.6199356,231.1911366,2.767240978,2.33729706,2.597492079,3.505582721,1.18900737,5.003235361
AT2G18660,19.93830857,3.473451613,184.1936601,419.922075,131.3839026,97.97209385,22.50082579,115.3717057
AT2G18680,74.31836624,62.47303174,82.26170836,62.35088653,63.46026587,88.42498505,31.42424898,21.04815233
AT2G18700,1127.384024,1136.695986,949.6284939,1090.970328,1486.644038,1457.339938,1198.394013,1021.520092
AT2G18770,456.3010021,540.2325534,401.5426201,699.6991652,502.3513095,530.5472859,332.9038422,533.1756303
AT2G18740,429.228413,382.444812,423.9663302,571.3550306,434.7917561,469.9260558,405.0423404,349.7558489
AT2G40710,1694.037329,1052.642248,1723.72558,1664.097446,1752.125655,1617.260085,2013.420153,1372.025676
AT2G40700,93.76475397,149.8474542,529.568583,699.5623503,660.5006676,704.9829774,474.3415166,418.4476723
AT2G40680,47.17676749,16.83892051,34.21128499,30.98127925,13.30754211,34.78951181,16.18932481,31.55285467
AT2G40670,231.19577,201.0776737,10.43617726,1.427159286,12.22522783,18.16246071,62.18963584,33.44791957
AT2G37860,676.2280046,644.7075706,950.731349,925.9346879,1682.141751,1837.514536,1674.528738,1273.7453
AT2G37850,517.2389623,587.2219523,301.8580196,434.0569865,267.0753182,253.9462266,657.7479836,388.2566726
AT2G37840,55.69716183,66.46672172,42.58773663,52.84101616,61.76350306,50.14778379,66.89877119,58.15222856
AT2G37830,77.5869482,78.11480561,94.19297442,40.64938721,29.98915448,60.23904685,43.73001669,42.15818474
AT2G37820,11.05446276,4.007894549,28.44818061,31.02532262,5.755558351,6.352466728,6.935108368,29.12143393
