"header","Zygotic_r1","Zygotic_r2","Day7_r1","Day7_r2","Day14_r1","Day14_r2","Somatic_r1","Somatic_r2"
"AT4G36270",246.635584,276.9791166,101.9027702,141.5947424,31.74918487,59.97492162,32.96475278,54.65056525
"AT4G36370",9.91859581,3.408168141,11.54337493,23.27841138,2.010287552,0.985177548,1.571698508,2.54974659
"AT4G36360",4377.319743,2869.163038,1472.41,1182.522984,458.1867777,460.4336818,1110.715775,1783.719513
"AT4G35820",3.883459948,19.777158,16.90225278,5.194940378,2.85115506,1.733675235,4.628082768,7.619438298
"AT4G35720",51.17525727,30.49218359,74.27720617,63.93096244,270.7138441,222.5894581,177.6565655,159.6363422
"AT4G35290",155.9918413,218.0907009,67.17400294,46.61127207,1.951698533,34.15900806,98.36985212,119.804154
"AT4G35050",108.3654735,146.9091901,401.2551175,459.8450836,683.5533113,681.6511622,610.6660501,346.185698
"AT4G35150",276.1803419,149.4386781,100.2957247,29.7649405,33.81187812,12.5724789,77.36282838,143.8495685
"AT4G35250",1152.628444,1403.27622,388.888614,362.1185272,226.5578505,231.6597609,776.1647236,808.5773146
"AT4G34620",14717.7533,10455.53083,6172.800308,5002.780172,2830.277221,1960.641982,5612.06323,6381.931401
"AT4G34820",181.5135045,262.1476993,104.6808945,127.7998498,43.6934639,47.75241465,150.3601604,110.549832
"AT4G34850",6.065495967,4.932204054,6.71315952,14.48204284,26.67370467,19.58130949,3.894824212,5.080693508
"AT4G34590",1771.489264,2352.271593,602.8971852,587.0744083,378.0627871,369.7605643,775.0740704,816.3132806
"AT4G34610",534.4777547,475.209086,318.5520056,231.1483897,60.22611698,79.03674845,229.0501024,389.5567132
"AT4G34680",1144.265294,1264.85874,469.0465113,642.7243313,180.2763112,219.9018709,703.6805905,761.1519431
"AT4G34750",165.8813593,232.9669549,660.3949022,524.6203326,787.5490946,823.5033394,458.5038322,400.7634039
"AT4G33950",393.0715478,538.6232366,352.3374081,403.3800664,1987.366183,1860.511153,884.8255152,1036.79141
"AT4G33750",1073.216907,911.968266,481.0427863,497.4716131,233.5296789,190.2042045,387.7451501,486.0642337
"AT4G33810",251.1106719,238.0007462,70.84706749,77.95109887,37.94265414,56.23554648,25.06572826,115.0075723
"AT4G33660",1276.441639,866.5403948,693.7937688,570.984376,154.0940717,184.0844476,476.7641581,452.0160213
"AT4G33663",116.0140223,55.63113633,66.14608763,33.62571285,4.267008413,10.81480467,11.43833907,36.57858671
"AT4G33710",4.959222261,2.981677581,12.26409314,14.21771405,26.38076439,21.30121907,21.56091857,35.33418101
"AT4G33230",26.9932226,15.53625221,28.93037418,18.85101264,3.586522045,4.042725439,25.96488712,6.572641685
"AT4G33220",2149.722124,2670.025776,797.4785815,765.1673754,173.9139317,183.7173141,72.88479044,156.2411947
"AT4G32910",633.2109414,799.0062795,1868.074823,1944.470652,3674.543821,3729.762588,2385.329533,2723.115404
"AT4G32770",3910.181241,2951.133406,1105.683249,923.6251002,399.5241175,358.727673,246.8246899,1121.212427
"AT4G32720",409.8663989,319.83255,875.2070429,826.169336,1855.511621,1634.813756,1418.620912,860.8997091
"AT4G32870",4124.915172,4183.122625,1791.165507,1013.752069,597.8373514,669.6802259,214.6324175,525.4280785
"AT4G32890",214.6091346,238.4407768,590.0716791,551.3570159,877.3700311,1085.262901,361.7648355,343.5506639
"AT4G32980",200.4101908,231.9152911,66.08837531,79.46398386,40.54945663,30.71039058,76.41058669,93.13493017
"AT4G32150",253.3353307,208.1030108,783.8094262,689.6633716,2451.795645,2329.616332,1439.280459,1695.998235
"AT4G31610",3.669088515,12.24647322,3.489514912,4.105132105,1.960561717,1.828566882,0.661647772,1.484561521
"AT4G31890",76.57585876,68.79523305,159.1767162,276.0180637,351.4448426,314.7124164,371.6061466,265.6074001
"AT4G31970",7.986794756,4.663448202,2.302150757,21.31639422,1.033197334,1.012841774,1.106506447,1.503879844
"AT4G32000",125.1630621,164.5982232,29.84894236,72.13103718,28.0870895,42.4262085,55.49115973,32.18458795
"AT4G31420",383.9552494,418.2795674,969.8940832,891.5287499,2654.500745,2457.025146,1463.380317,1535.279091
"AT4G31220",1.345286608,1.324373143,2.323903306,3.657656551,5.460680063,8.721167775,1.544661201,2.581460647
"AT4G31230",2.359286906,1.557301367,2.252516818,11.92481948,9.313710495,7.154243941,1.601889355,4.147675574
"AT4G31070",8.335967062,0.839236411,1.140465629,6.659986308,29.80071884,23.79689076,3.589716565,0.848464766
"AT4G30340",66.22000506,79.44547012,175.3017994,152.2793642,346.6986567,279.1103818,114.5504825,148.6290179
"AT4G30670",35.15216019,5.680327597,69.46022839,59.00724194,85.60680356,102.433309,134.5051116,241.5842501
"AT4G30840",100.5337063,176.633793,350.0968353,282.7384876,691.7623181,616.4024088,408.2586624,343.6100847
"AT4G30830",1.636198199,8.178712667,2.679774615,1.193057977,0.50551434,0.570447293,20.91443058,25.52356728
"AT4G30990",50.38988717,71.05594709,87.83702631,165.7595644,387.4907878,486.9997265,174.2126073,113.5301427
"AT4G30450",41.89449673,7.950460339,30.0807344,36.98271318,112.5787054,115.607516,316.6434568,517.2694643
"AT4G29780",3122.115494,3224.495527,1060.27639,541.4601142,232.5280407,228.659862,67.47937317,130.889917
"AT4G30040",32.62074496,28.38235709,6.924653632,19.60705901,4.148284023,3.600660535,16.91032223,36.04015362
"AT4G30230",43.83642557,4.95014183,4.539527269,10.44770718,4.711847009,2.662485206,23.01068575,4.890230705
"AT4G30270",656.3694931,1002.310043,1006.695751,1721.465008,3770.94834,3801.427876,2157.800832,3897.974798
"AT4G29510",365.5204886,499.4397857,1634.204917,1764.796505,1722.190863,1815.158922,1379.519602,1246.47904
"AT4G28960",0.547609962,1.052328161,1.919498779,0.387863865,2.016582532,7.253030026,1.019170151,1.884475531
"AT4G29080",125.560955,113.7493634,24.21167035,38.77914825,37.72118945,20.50749093,2862.884228,2552.867217
"AT4G28810",51.94340478,7.298891618,6.211565508,15.04289995,5.243804446,6.26268309,12.75190792,24.1288572
"AT4G28560",58.20847517,75.81558761,67.46201623,123.2705701,3.72837046,4.206071475,32.54477691,5.472722251
"AT4G28570",48.79053425,57.77176622,199.1994398,196.782523,290.4178595,316.9998739,468.4516822,321.2293064
"AT4G28660",4186.596223,4444.818207,1650.688824,1352.959947,378.5434904,425.0623775,602.4582382,1256.996913
"AT4G28240",685.5301884,583.6184972,1339.703251,1486.979064,2719.78887,2400.880078,2972.79764,3008.82977
"AT4G28250",598.1394775,1100.583847,247.0228765,291.4707519,94.03977518,114.2028034,1816.463123,947.2308941
"AT4G28110",59.43668298,31.35980165,50.45828418,25.65576957,11.02948037,4.890166493,12.65709965,62.39242488
"AT4G27990",2219.995827,2005.782457,626.4452586,621.9575936,386.4751756,413.4921382,412.3481523,858.2400549
"AT4G27490",231.5282351,226.5119091,853.3747349,842.5391706,1119.257257,1202.017919,1079.670276,398.8777116
"AT4G27430",846.719779,900.495572,268.491999,266.9944909,128.3353244,134.62211,256.3418213,340.2830028
"AT4G27570",37.94195606,27.20883337,72.84643303,38.27559781,347.4423679,349.1048436,449.6342296,341.823725
"AT4G27640",54.38930452,89.98506451,105.1665907,152.2560026,413.1148518,500.3306615,168.2390014,125.8696387
"AT4G27250",515.4835603,328.4704878,212.9870484,186.0950779,81.2295067,116.9542676,57.49896597,321.5894443
"AT4G26650",243.2908105,347.8512648,656.47294,846.8227925,1313.572053,1329.791978,854.584636,562.0891346
"AT4G26720",451.0354962,579.161483,839.0049545,1612.035193,2654.962499,1566.509796,1058.533275,1071.301928
"AT4G26820",5.417714856,2.501117698,12.11629613,9.504028959,9.920159305,34.75633194,6.043566165,12.17956805
"AT4G27030",374.2447666,203.2435655,142.2033477,96.23798681,35.54528292,41.23485556,94.96187363,216.5922021
"AT4G26680",16.77336223,15.55532405,41.45484326,52.3228659,73.8642799,70.19435077,24.27067181,75.24013539
"AT4G26110",387.6530892,478.7083845,740.3282294,983.5055936,1902.913236,1785.279391,1206.978736,1115.762774
"AT4G26260",12.46383382,31.48167978,5.307253473,28.96873704,3.002727192,2.419421777,12.2879554,2.57143539
"AT4G26330",3.767431953,6.700752907,21.17657764,4.080444207,12.47330387,38.49151538,4.209761152,26.66480924
"AT4G26380",18.03430349,7.17794462,56.99934224,27.95323533,33.25433116,78.699957,14.12490973,30.75365874
"AT4G26050",148.311648,115.4281953,95.58044112,39.89476352,28.68169058,6.938228734,5.869452626,17.0838086
