,z1_counts,z2_counts,o1_counts,o2_counts,g1_counts,g2_counts,h1_counts,h2_counts,t1_counts,t2_counts,b1_counts,b2_counts,m1_counts,m2_counts
AT1G67230,276.3586519,317.0233892,884.4605504,1139.571368,644.9292601,524.3298266,1441.829792,1122.967605,1892.497608,1697.868049,889.9566371,459.043653,1176.493779,1001.751843
AT1G13220,55.27173037,53.08298611,118.3923571,227.4638501,138.1991272,82.72193867,283.8366502,373.3216726,373.907673,303.2139116,144.9550583,119.3182058,26.59626895,21.52201225
AT1G68790,540.1114705,813.9391203,2175.943191,2686.775972,1197.725769,1464.814637,1056.838591,1162.001238,1000.36702,1373.227887,753.9910398,482.2444152,774.4207724,1267.842176
AT5G65770,13.57551272,28.01602045,187.2611139,268.001962,65.80910818,34.36142068,326.1101938,167.1440196,449.345186,543.4476318,335.9811042,159.0909411,4.693459227,21.52201225
AT2G15230,337.4484591,364.2082658,1599.457531,1848.988326,1230.630323,897.2148732,1709.058979,1241.069367,3283.17176,2831.511496,1632.710851,1358.901789,1747.531319,2121.874753
AT1G04640,129.9370503,230.0262731,386.1293217,504.4742815,710.7383683,353.7953684,157.0160193,200.1724786,403.4266998,467.4818338,148.3261062,120.9754031,546.0057567,824.6843785
AT2G41500,124.1189735,175.4687596,615.1759734,828.7791767,825.9043076,274.8913654,425.7549753,322.2776906,810.1332915,403.2030816,286.5390688,308.2386984,190.8673419,260.2206936
AT2G18915,204.6023703,303.7526427,114.5233259,220.7074982,125.0373055,193.442072,265.7194172,194.1673043,321.4294031,150.6330353,214.6233809,266.8087658,793.1946093,647.6169141
AT5G56170,228.8443573,349.4629919,538.5691541,536.0039241,829.194763,543.4195048,582.7709946,787.6787034,741.2555623,719.4025998,540.4913415,631.3921725,680.5515878,816.8581922
AT2G20700,103.7557044,56.03204089,331.9628838,198.1863249,29.61409868,31.81613026,27.17584949,30.02587179,19.67935121,22.72481136,5.618413113,0,4.693459227,0
AT4G28280,0,0,3.869031279,6.756351984,0,0,0,0,0,3.246401624,0,0,1.564486409,0
AT5G15580,15.51487168,32.43960262,44.10695658,51.79869855,29.61409868,21.63496857,179.6625605,321.2768282,1220.119775,1171.301706,170.7997586,76.23107595,4.693459227,15.65237255
AT3G02170,54.30205089,42.76129436,23.98799393,24.77329061,19.74273245,12.7264521,200.7993323,160.1379829,354.2283218,402.5538013,284.2917035,102.7462328,34.41870099,29.34819852
AT5G63090,0,0,0,0,0,0,0,0,0,0,4.49473049,3.314394606,0,0
AT2G28305,9.696794802,16.21980131,47.97598786,58.55505053,0,3.817935631,9.058616496,6.005174358,0,15.58272779,2.247365245,1.657197303,1.564486409,3.913093136
AT5G26140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G19260,3.878717921,14.74527392,304.8796648,326.5570126,134.9086718,54.72374404,221.9361041,227.1957632,265.6712414,295.4225477,277.5496078,280.0663442,226.8505293,140.8713529
AT4G14850,13.57551272,23.59243827,129.999451,108.1016317,42.77592032,95.44839077,146.4476333,44.0379453,134.4755666,143.4909518,97.76038816,84.51706246,89.1757253,105.6535147
AT2G39230,0,0,13.92851261,22.52117328,0,2.545290421,48.31262131,28.02414701,19.67935121,25.97121299,1.123682623,19.88636764,1.564486409,0
AT1G32540,35.87814077,33.91413001,44.88076284,56.3029332,233.622334,390.7020795,194.7602547,108.0931385,1239.799126,816.1453682,102.2551187,28.17235415,3.128972818,9.782732841
AT4G21610,7.757435842,14.74527392,26.3094127,47.29446389,52.64728654,24.18025899,61.90054605,32.02759658,68.87772924,62.9801915,44.9473049,34.80114337,197.1252875,107.6100612
AT5G26860,3234.850746,3678.945843,9845.9108,5265.450313,4030.807876,3676.672012,6766.786522,3789.26502,715.0164273,852.5050663,191.0260458,508.7595721,8161.925595,6992.697435
AT5G47040,93.0892301,97.31880786,492.1407787,443.6671136,246.7841557,180.7156199,949.6449626,715.6166111,708.4566436,460.9890305,524.7597847,260.1799766,1847.658449,1404.800436
AT3G05780,0,0,3.095225023,6.756351984,0,0,0,0,0,0,4.49473049,0,0,0
AT3G05790,17.45423064,20.64338349,132.3208698,159.9003303,26.32364327,11.45380689,27.17584949,38.03277094,13.11956747,12.33632617,4.49473049,11.60038112,3.128972818,1.956546568
AT1G56070,4015.442728,4492.884963,17781.29395,17354.81613,13869.26955,9229.223065,34692.99141,54795.2143,45190.35016,28522.23538,19236.32282,15498.10918,15383.59486,9684.905512
